Pregunta;Opcion A;Opcion B;Opcion C;Respuesta Correcta;Bloque;Tema;Feedback
La vecindad civil se adquiere:;Por residencia continuada durante 10 años manifestando esa voluntad;Por residencia continuada durante 10 años, sin declaración en contrario;Por residencia continuada durante 2 años, sin declaración en contrario;b;1;1;La vecindad civil se adquiere: 1. Por residencia continuada durante dos años, siempre que el interesado manifieste ser esa su voluntad. 2. Por residencia continuada de diez años, sin declaración en contrario durante este plazo.
El menor extranjero adoptado por un español, adquiere:;La nacionalidad española;La nacionalidad española, derivativa;La nacionalidad española, de origen;c;1;1;1. El extranjero menor de dieciocho años adoptado por un español adquiere, desde la adopción, la nacionalidad española de origen. 2. Si el adoptado es mayor de dieciocho años, podrá optar por la nacionalidad española de origen en el plazo de dos años a partir de la constitución de la adopción. 3. Sin perjuicio de lo dispuesto en el apartado 1, si de acuerdo con el sistema jurídico del país de origen el menor adoptado mantiene su nacionalidad, ésta será reconocida también en España
Indique cuando la autoridad judicial podrá conceder la emancipación:;Cuando los progenitores vivieren separados;Cuando el menor lo solicite en cualquier caso;Cuando ocurra una circunstancia que entorpezca el ejercicio de la patria potestad;a;1;1;1.º Cuando quien ejerce la patria potestad contrajere nupcias o conviviere marital- mente con persona distinta del otro progenitor. 2.º Cuando los progenitores vivieren separados. 3.º Cuando concurra cualquier causa que entorpezca gravemente el ejercicio de la patria potestad.
Los tribunales de honor están prohibidos:;En la administración civil;Administración militar;Administración civil y organizaciones profesionales;c;1;2;Artículo 26. Tribunales de honor. Se prohíben los Tribunales de Honor en el ámbito de la Administración civil y de las organizaciones profesionales.
El mandato del Defensor del Pueblo es de:;4 años;5 años;6 años;b;1;2;El Defensor del Pueblo será elegido por las Cortes Generales para un periodo de cinco años, y se dirigirá a las mismas a través de los Presidentes del Congreso y del Senado, respectivamente.
¿Cuánto tiempo tiene el Defensor del Pueblo para cesar de sus cargos incompatibles con su mandato desde que se produce su nombramiento?;5 días;10 días;15 días;b;1;2;El Defensor del Pueblo deberá cesar, dentro de los diez días siguientes a su nombramiento y antes de tomar posesión, en toda situación de incompatibilidad que pudiera afectarle, entendiéndose en caso contrario que no acepta el nombramiento.
¿Qué títulos podrá utilizar el Rey?;Rey de España;Rey de España, exclusivamente;Rey de España, y demás títulos que correspondan a la Corona;c;1;3;"Art. 56.2 CE ""Su título es el de Rey de España y podrá utilizar los demás que correspondan a la Corona"""
Indique la opción correcta:;Al Rey corresponde, previa autorización de las Cortes Generales, declarar la guerra y hacer la paz;Al Rey corresponde, previa autorización del Congreso de los Diputados declarar la guerra y hacer la paz;Al Rey corresponde, previa autorización del Consejo de Ministros, declarar la guerra y hacer la paz;a;1;3;Art. 63. 3 CE Al Rey corresponde, previa autorización de las Cortes Generales, declarar la guerra y hacer la paz
¿Cuántos Senadores elige Ceuta?;1;2;3;b;1;3;Art. 69 CE Las poblaciones de Ceuta y Melilla elegirán cada una de ellas dos Senadores
El primer presidente de la CECA fue:;Robert Schuman;Jean Monnet;Henri Spaak;b;1;4;El primer presidente de la CECA fue Jean Monnet, quien provenía de la «Sociedad de las Naciones» (precursora de la ONU).
